Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.004166667,51.54055,10.11991,14.2919
0.0125,51.52994,10.11974,14.28526
0.02083334,51.51726,10.11968,14.27794
0.02916666,51.50963,10.11949,14.27087
0.0375,51.49832,10.11943,14.26558
0.04583334,51.4895,10.11931,14.25694
0.05416668,51.47529,10.11916,14.24984
0.0625,51.46044,10.11904,14.24283
0.07083332,51.44875,10.11888,14.23672
0.07916666,51.44498,10.1188,14.23024
0.0875,51.43198,10.11863,14.22519
0.09583332,51.42094,10.11863,14.21914
0.1041666,51.4109,10.11847,14.21352
0.1125,51.40149,10.11845,14.20824
0.1208333,51.3886,10.11833,14.20126
0.1291666,51.3809,10.11819,14.19497
0.1375,51.37472,10.11823,14.19005
0.1458333,51.3633,10.11807,14.18795
0.1541667,51.35664,10.11809,14.1844
0.1625,51.35268,10.11793,14.1815
0.1708334,51.34274,10.11791,14.17949
0.1791666,51.34113,10.11774,14.1779
0.1875,51.33958,10.11765,14.17683
0.1958334,51.33425,10.11759,14.17737
0.2041667,51.33306,10.11745,14.17986
0.2125,51.32788,10.11752,14.18616
0.2208333,51.32149,10.11732,14.19126
0.2291667,51.31387,10.11742,14.19615
0.2375,51.31695,10.11726,14.19988
0.2458334,51.31549,10.1173,14.20431
0.2541666,51.32028,10.11721,14.21058
0.2625,51.31936,10.1172,14.21902
0.2708334,51.32061,10.11722,14.22569
0.2791667,51.3264,10.11707,14.23171
0.2875,51.33003,10.11719,14.23833
0.2958333,51.33642,10.11699,14.2437
0.3041667,51.33902,10.11713,14.25068
0.3125,51.34688,10.11695,14.25652
0.3208333,51.3582,10.11703,14.26156
0.3291667,51.37084,10.11696,14.26622
0.3375,51.37492,10.11692,14.27232
0.3458333,51.38839,10.11693,14.27494
0.3541666,51.4022,10.11679,14.27779
0.3625,51.41546,10.11688,14.27828
0.3708334,51.43318,10.11671,14.2781
0.3791666,51.45028,10.11684,14.27554
0.3875,51.46496,10.11664,14.27188
0.3958334,51.4882,10.11668,14.26586
0.4041666,51.50106,10.11662,14.25976
0.4125,51.52156,10.11657,14.24954
0.4208333,51.54784,10.11664,14.23433
0.4291667,51.57215,10.11649,14.21901
0.4375,51.58951,10.11659,14.20236
0.4458333,51.61852,10.11645,14.18242
0.4541667,51.64256,10.11652,14.16079
0.4625,51.67281,10.11637,14.13571
0.4708334,51.70285,10.11642,14.10929
0.4791666,51.74198,10.11633,14.07755
0.4875,51.77491,10.11625,14.04558
0.4958334,51.81168,10.11626,14.01205
0.5041666,51.84111,10.11609,13.97806
0.5125,51.87835,10.1162,13.93862
0.5208332,51.91402,10.11605,13.89754
0.5291666,51.94831,10.11609,13.85409
0.5375,51.99294,10.11597,13.80484
0.5458334,52.02944,10.11598,13.75447
0.5541668,52.06982,10.11592,13.69933
