Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.004166667,51.57566,7.349578,15.22919
0.004166667,51.56278,7.349488,15.22269
0.0125,51.55302,7.349507,15.21588
0.02083334,51.54629,7.349448,15.20986
0.02916666,51.53338,7.349515,15.20565
0.0375,51.5196,7.349501,15.20036
0.04583334,51.51026,7.349454,15.19394
0.05416668,51.49838,7.349413,15.18865
0.0625,51.48086,7.34939,15.18432
0.07083332,51.47144,7.349397,15.17744
0.07916666,51.4586,7.349438,15.17162
0.0875,51.45242,7.349448,15.16308
0.09583332,51.44292,7.349499,15.15665
0.1041666,51.42996,7.349532,15.15021
0.1125,51.42062,7.349543,15.14234
0.1208333,51.41038,7.349594,15.13552
0.1291666,51.39956,7.349612,15.13001
0.1375,51.39224,7.349646,15.12283
0.1458333,51.38626,7.349661,15.11846
0.1541667,51.37504,7.34974,15.11642
0.1625,51.37026,7.349778,15.11452
0.1708334,51.36834,7.349885,15.11444
0.1791666,51.36166,7.349938,15.11595
0.1875,51.34918,7.349993,15.11966
0.1958334,51.3432,7.350106,15.12399
0.2041667,51.34296,7.350156,15.12923
0.2125,51.33898,7.350304,15.13561
0.2208333,51.34229,7.350362,15.14366
0.2291667,51.34082,7.350494,15.15392
0.2375,51.34224,7.350512,15.16403
0.2458334,51.33716,7.350562,15.17602
0.2541666,51.34088,7.350561,15.18786
0.2625,51.33904,7.350648,15.20001
0.2708334,51.33793,7.350756,15.2133
0.2791667,51.34604,7.350816,15.22609
0.2875,51.3547,7.350876,15.23987
0.2958333,51.36086,7.350879,15.25479
0.3041667,51.35947,7.350986,15.26948
0.3125,51.37242,7.351028,15.27954
0.3208333,51.38108,7.351169,15.29157
0.3291667,51.38932,7.351266,15.30275
0.3375,51.39966,7.351426,15.31219
0.3458333,51.41187,7.351434,15.3225
0.3541666,51.42176,7.351499,15.33297
0.3625,51.44453,7.351526,15.33926
0.3708334,51.45934,7.351619,15.34644
0.3791666,51.47196,7.35172,15.35253
0.3875,51.4913,7.351813,15.35693
0.3958334,51.51062,7.351924,15.36126
0.4041666,51.53396,7.352016,15.36276
0.4125,51.551,7.352076,15.3645
0.4208333,51.56852,7.352054,15.36451
0.4291667,51.59197,7.352263,15.36084
0.4375,51.61374,7.3523,15.35604
0.4458333,51.64456,7.35248,15.34764
0.4541667,51.66718,7.352569,15.33908
0.4625,51.69897,7.352656,15.32549
0.4708334,51.73413,7.35271,15.31054
0.4791666,51.76508,7.352759,15.29334
0.4875,51.80074,7.35283,15.27511
0.4958334,51.8321,7.352862,15.25692
0.5041666,51.8669,7.353085,15.23396
0.5125,51.90184,7.353094,15.20919
0.5208332,51.93902,7.353241,15.18176
0.5291666,51.97717,7.353276,15.15148
0.5375,52.01562,7.353306,15.11841
0.5458334,52.06008,7.353403,15.08427
0.5541668,52.09966,7.353429,15.04788
0.5625,52.14844,7.353507,15.00808
0.5708332,52.19326,7.353512,14.96529
0.5791666,52.24293,7.353657,14.91794
0.5875,52.29863,7.353598,14.86962
0.5958334,52.34984,7.353691,14.82064
0.6041668,52.40012,7.353672,14.76893
0.6125,52.44976,7.3537,14.7145
0.6208334,52.5066,7.353801,14.65564
0.6291666,52.55813,7.353814,14.59566
0.6375,52.61682,7.353986,14.53175
0.6458332,52.6823,7.354018,14.46439
0.6541666,52.74282,7.354134,14.3951
0.6625,52.81097,7.354072,14.32232
0.6708334,52.8706,7.354232,14.24816
0.6791668,52.93808,7.354215,14.16987
0.6875,53.0063,7.354345,14.08846
0.6958332,53.07781,7.354418,14.00498
0.7041666,53.14809,7.354449,13.92016
0.7125,53.2188,7.354608,13.833
0.7208334,53.29,7.35459,13.74379
0.7291668,53.36636,7.35476,13.64961
0.7375,53.44911,7.354815,13.55501
0.7458334,53.53149,7.355006,13.45893
0.7541666,53.6071,7.355038,13.36186
0.7625,53.68725,7.355178,13.26175
0.7708332,53.77,7.355274,13.15932
0.7791666,53.8506,7.355386,13.05463
0.7875,53.9441,7.355526,12.946
0.7958334,54.03499,7.355508,12.83572
0.8041668,54.12757,7.355645,12.72268
0.8125,54.2167,7.355652,12.60897
0.8208332,54.31109,7.35571,12.48905
0.8291666,54.40538,7.355762,12.36743
0.8375,54.4998,7.355821,12.24465
0.8458334,54.59907,7.355868,12.11901
0.8541668,54.69809,7.355882,11.99184
0.8625,54.80314,7.355944,11.86311
0.8708332,54.90108,7.355957,11.73207
0.8791668,55.00336,7.356076,11.59771
0.8875,55.11013,7.356134,11.46162
0.8958332,55.21176,7.356232,11.32571
0.9041666,55.3182,7.356312,11.1873
0.9125,55.43418,7.356361,11.04477
0.9208334,55.54034,7.356394,10.90136
0.9291668,55.65593,7.35646,10.75441
0.9375,55.76894,7.356542,10.60632
0.9458332,55.88215,7.35658,10.45524
0.9541666,56.00082,7.356644,10.30177
0.9625,56.11885,7.356653,10.14715
0.9708334,56.2362,7.356678,9.992235
0.9791668,56.35972,7.356744,9.833553
0.9875,56.48702,7.356772,9.674681
0.9958332,56.6081,7.35686,9.51562
1.004167,56.73259,7.356947,9.354679
1.0125,56.85882,7.357016,9.192699
1.020833,56.9903,7.357034,9.028522
1.029167,57.11651,7.357111,8.864676
1.0375,57.2512,7.357187,8.69902
1.045834,57.38076,7.35726,8.534118
1.054167,57.51032,7.35733,8.36553
1.0625,57.64756,7.357295,8.195642
1.070833,57.78844,7.35736,8.023819
1.079166,57.91707,7.357354,7.851578
1.0875,58.05769,7.35741,7.677412
1.095833,58.19512,7.357461,7.50223
1.104166,58.3352,7.357537,7.325608
1.1125,58.48158,7.357612,7.146506
1.120833,58.61633,7.357641,6.968168
1.129167,58.7615,7.357718,6.786795
1.1375,58.9137,7.357734,6.60584
1.145834,59.06187,7.357806,6.42512
1.154167,59.21294,7.357838,6.242898
1.1625,59.35942,7.357926,6.061285
1.170834,59.50378,7.357942,5.879443
1.179167,59.65855,7.357926,5.69659
1.1875,59.81492,7.357929,5.51407
1.195833,59.97099,7.357886,5.331726
1.204166,60.12408,7.357964,5.148969
1.2125,60.2852,7.357964,4.966627
1.220833,60.44851,7.358071,4.783562
1.229166,60.59774,7.35816,4.599042
1.2375,60.76574,7.358241,4.412747
1.245833,60.92793,7.35824,4.227596
1.254167,61.08434,7.358328,4.042305
1.2625,61.25302,7.358422,3.856666
1.270834,61.4187,7.358506,3.670902
1.279167,61.58247,7.358695,3.484869
1.2875,61.75318,7.358648,3.299332
1.295834,61.91488,7.358735,3.112781
1.304167,62.08188,7.358748,2.92582
1.3125,62.25438,7.358785,2.740977
1.320833,62.42326,7.358776,2.556381
1.329166,62.59356,7.358847,2.371338
1.3375,62.76775,7.358813,2.187246
1.345833,62.9414,7.358849,2.002936
1.354166,63.11336,7.358937,1.819801
1.3625,63.28629,7.358869,1.636978
1.370833,63.46056,7.359039,1.453897
1.379167,63.63809,7.359058,1.271992
1.3875,63.81152,7.359075,1.090358
1.395834,63.99384,7.359116,0.9082066
1.404167,64.17449,7.359158,0.7281028
