Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.000888889,51.46429,14.88071,11.4867
0.004166667,51.45038,14.88073,11.48234
0.0125,51.43829,14.88064,11.47622
0.02083334,51.42588,14.88065,11.46998
0.02916666,51.41836,14.8806,11.46199
0.0375,51.40754,14.88068,11.45519
0.04583334,51.39191,14.88062,11.44916
0.05416668,51.37824,14.88063,11.44274
0.0625,51.3683,14.8806,11.43414
0.07083332,51.35978,14.88055,11.42684
0.07916666,51.34662,14.88059,11.41964
0.0875,51.33712,14.88049,11.41064
0.09583332,51.3278,14.8806,11.40234
0.1041666,51.31676,14.88056,11.39437
0.1125,51.30257,14.88065,11.3889
0.1208333,51.2966,14.88064,11.38231
0.1291666,51.28463,14.88072,11.37749
0.1375,51.27752,14.88078,11.3723
0.1458333,51.2714,14.88082,11.36819
0.1541667,51.26142,14.88098,11.36463
0.1625,51.25304,14.88095,11.36197
0.1708334,51.24441,14.88116,11.36042
0.1791666,51.23912,14.88112,11.35916
0.1875,51.2329,14.88126,11.35962
0.1958334,51.22774,14.88132,11.3589
0.2041667,51.22993,14.88137,11.35886
0.2125,51.22616,14.88147,11.36237
0.2208333,51.22373,14.88153,11.36563
0.2291667,51.22424,14.88166,11.36788
0.2375,51.21553,14.88165,11.37394
0.2458334,51.21426,14.88188,11.37888
0.2541666,51.21322,14.88189,11.38306
0.2625,51.21462,14.88204,11.38742
0.2708334,51.22027,14.88215,11.39226
0.2791667,51.22701,14.88225,11.39739
0.2875,51.23072,14.88249,11.40238
0.2958333,51.23699,14.88255,11.40578
0.3041667,51.242,14.88274,11.41102
0.3125,51.24738,14.88284,11.41602
0.3208333,51.26013,14.88305,11.41883
0.3291667,51.26821,14.88314,11.4231
0.3375,51.27654,14.88331,11.42592
0.3458333,51.2834,14.88349,11.43011
0.3541666,51.29596,14.88359,11.43012
0.3625,51.3153,14.8838,11.42803
0.3708334,51.32668,14.88384,11.42724
0.3791666,51.3452,14.88409,11.42432
0.3875,51.36854,14.8842,11.41995
0.3958334,51.3868,14.8844,11.41433
0.4041666,51.40496,14.88459,11.40638
