Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.000611111,51.53172,13.18631,14.20503
0.004166667,51.52012,13.18627,14.20252
0.0125,51.5081,13.18624,14.20024
0.02083334,51.4917,13.18624,14.19919
0.02916666,51.47564,13.18618,14.19838
0.0375,51.46593,13.18618,14.19757
0.04583334,51.45533,13.18614,14.19436
0.05416668,51.43184,13.18612,14.19312
0.0625,51.42336,13.18604,14.18956
0.07083332,51.40969,13.18609,14.18776
0.07916666,51.3961,13.18602,14.18578
0.0875,51.38744,13.18603,14.18194
0.09583332,51.37352,13.18601,14.18021
0.1041666,51.36215,13.18598,14.17622
0.1125,51.34866,13.18602,14.17163
0.1208333,51.33272,13.18599,14.1689
0.1291666,51.3221,13.18602,14.16574
0.1375,51.31462,13.18602,14.16409
0.1458333,51.3075,13.18609,14.16344
0.1541667,51.29473,13.18603,14.16372
0.1625,51.2879,13.18615,14.16321
0.1708334,51.27517,13.18612,14.16498
0.1791666,51.26956,13.18618,14.16566
0.1875,51.2631,13.18623,14.1693
0.1958334,51.2619,13.18626,14.17582
0.2041667,51.25511,13.18632,14.18305
0.2125,51.24954,13.18633,14.19127
0.2208333,51.24902,13.18643,14.19981
0.2291667,51.2415,13.18642,14.20978
0.2375,51.24413,13.18651,14.21764
0.2458334,51.24687,13.18648,14.22794
0.2541666,51.2458,13.18661,14.24106
0.2625,51.24067,13.18662,14.25362
0.2708334,51.24712,13.18668,14.26563
0.2791667,51.24944,13.18674,14.27671
0.2875,51.24778,13.1868,14.2884
0.2958333,51.24962,13.18688,14.30037
0.3041667,51.25543,13.18692,14.30947
0.3125,51.26211,13.18699,14.31851
0.3208333,51.27088,13.18704,14.32799
0.3291667,51.27981,13.18714,14.33541
0.3375,51.28667,13.18716,14.34172
0.3458333,51.30169,13.18727,14.34838
0.3541666,51.31322,13.18727,14.35426
0.3625,51.32312,13.18729,14.35946
0.3708334,51.33075,13.18738,14.36289
0.3791666,51.3428,13.1874,14.36331
0.3875,51.36049,13.18748,14.36222
0.3958334,51.37432,13.18754,14.3595
0.4041666,51.39,13.18762,14.35466
0.4125,51.41978,13.18765,14.34579
0.4208333,51.44041,13.18776,14.33774
0.4291667,51.45928,13.18776,14.32668
0.4375,51.48133,13.18785,14.31242
0.4458333,51.50261,13.18795,14.29525
0.4541667,51.52874,13.18798,14.27587
0.4625,51.55289,13.18809,14.2554
0.4708334,51.58244,13.18812,14.2326
0.4791666,51.61924,13.18821,14.20684
0.4875,51.6478,13.18817,14.17976
0.4958334,51.6782,13.18831,14.14862
0.5041666,51.70832,13.18828,14.1138
0.5125,51.75104,13.1884,14.07372
0.5208332,51.78684,13.18842,14.03257
0.5291666,51.82358,13.18848,13.98948
0.5375,51.8561,13.1885,13.94352
0.5458334,51.90156,13.18854,13.89256
0.5541668,51.9454,13.1886,13.83802
0.5625,51.98667,13.18859,13.78039
0.5708332,52.033,13.18873,13.71976
0.5791666,52.08,13.18867,13.65649
0.5875,52.12681,13.1888,13.58861
0.5958334,52.17394,13.18876,13.51883
0.6041668,52.22361,13.18885,13.44366
0.6125,52.2748,13.18885,13.36636
0.6208334,52.32581,13.18892,13.28594
0.6291666,52.38189,13.18894,13.20002
0.6375,52.43838,13.18894,13.11247
0.6458332,52.49631,13.18903,13.02128
0.6541666,52.55318,13.18898,12.92731
0.6625,52.6132,13.18912,12.82974
0.6708334,52.6791,13.18904,12.72869
0.6791668,52.73697,13.18914,12.62587
0.6875,52.80262,13.18916,12.5199
0.6958332,52.87316,13.18924,12.40858
0.7041666,52.94284,13.18931,12.29579
0.7125,53.01222,13.18936,12.18139
0.7208334,53.08985,13.18948,12.062
0.7291668,53.15901,13.18944,11.94091
0.7375,53.2325,13.18962,11.8154
0.7458334,53.30747,13.1896,11.68629
0.7541666,53.38594,13.18976,11.55422
0.7625,53.46956,13.18977,11.41837
0.7708332,53.55371,13.18987,11.27898
0.7791666,53.63646,13.18988,11.13784
0.7875,53.72153,13.18996,10.99223
0.7958334,53.80335,13.18999,10.84393
0.8041668,53.8934,13.19002,10.69163
0.8125,53.98215,13.19012,10.53619
0.8208332,54.07206,13.19006,10.37722
0.8291666,54.16489,13.19016,10.21621
0.8375,54.25548,13.19015,10.05288
0.8458334,54.35879,13.19022,9.886151
0.8541668,54.4519,13.19025,9.717668
0.8625,54.54832,13.19032,9.54557
0.8708332,54.6517,13.1903,9.370128
0.8791668,54.75459,13.19041,9.190588
0.8875,54.85485,13.1904,9.009082
0.8958332,54.95919,13.1905,8.827212
0.9041666,55.06336,13.19056,8.642401
0.9125,55.17466,13.19063,8.453931
0.9208334,55.27928,13.19065,8.263382
0.9291668,55.38858,13.19068,8.067756
0.9375,55.49839,13.19072,7.870313
0.9458332,55.60912,13.1907,7.670816
0.9541666,55.72312,13.19082,7.469272
0.9625,55.84126,13.19077,7.266419
0.9708334,55.95882,13.1909,7.061422
0.9791668,56.0753,13.19086,6.852528
0.9875,56.19526,13.19094,6.643176
0.9958332,56.3234,13.19091,6.429687
1.004167,56.43949,13.19096,6.215704
1.0125,56.56697,13.19106,5.99888
1.020833,56.69585,13.19101,5.781773
1.029167,56.81648,13.19116,5.562804
1.0375,56.94898,13.19108,5.340504
1.045834,57.07612,13.19125,5.11638
1.054167,57.20699,13.19116,4.890576
1.0625,57.34207,13.19128,4.66266
1.070833,57.4721,13.19125,4.43155
1.079166,57.60818,13.19127,4.20021
1.0875,57.74078,13.19135,3.967399
1.095833,57.88264,13.19125,3.733016
1.104166,58.01604,13.19141,3.495915
1.1125,58.16261,13.19127,3.25794
1.120833,58.30468,13.19142,3.019602
1.129167,58.44262,13.19131,2.780546
1.1375,58.58842,13.19143,2.539463
1.145834,58.73359,13.19138,2.297806
1.154167,58.87444,13.19141,2.056817
1.1625,59.02066,13.1915,1.813156
1.170834,59.17206,13.19141,1.568251
1.179167,59.31859,13.19161,1.32269
1.1875,59.47256,13.19143,1.075623
1.195833,59.62665,13.19162,0.8278982
1.204166,59.77618,13.19151,0.5798881
